code,system
J45.0,icd10
J45.0,icd10
493.0,icd9
493.00,icd9
493.01,icd9
493.0,icd9
493.00,icd9
493.01,icd9
J45.1,icd10
J45.1,icd10
493.1,icd9
493.10,icd9
493.11,icd9
493.12,icd9
493.1,icd9
493.10,icd9
493.11,icd9
493.12,icd9
J45.20,icd10
J45.21,icd10
J45.20,icd10
J45.21,icd10
J45.40,icd10
J45.41,icd10
J45.40,icd10
J45.41,icd10
J45.50,icd10
J45.51,icd10
J45.50,icd10
J45.51,icd10
J45.8,icd10
J45.8,icd10
493.2,icd9
493.20,icd9
493.21,icd9
493.22,icd9
493.2,icd9
493.20,icd9
493.21,icd9
493.22,icd9
J45.998,icd10
J45.998,icd10